119,17,9,'1 - 2,25198,Chris Kavanagh
120,17,11,'2 - 1,25042,Paul Tierney
121,17,14,'2 - 1,25125,David Coote
122,17,12,'1 - 0,25130,Michael Salisbury
123,17,18,'0 - 3,25176,Andy Madley
124,17,3,'0 - 4,25132,Michael Oliver
125,17,1,'1 - 1,23343,Robert Jones
126,17,7,'0 - 0,25350,Craig Pawson
127,16,2,'1 - 0,29281,Robert Jones
128,16,3,'0 - 2,29296,Craig Pawson
129,16,20,'2 - 3,28720,Michael Oliver
130,16,18,'2 - 3,28654,Jarred Gillett
131,16,8,'1 - 1,29208,Anthony Taylor
132,16,6,'1 - 0,29245,Paul Tierney
133,16,19,'2 - 2,28869,Andre Marriner
134,16,17,'1 - 0,29045,John Brooks
135,16,9,'1 - 1,29229,Peter Bankes
136,16,13,'2 - 0,29301,Paul Tierney
137,16,11,'1 - 0,29363,Robert Jones
138,13,19,'2 - 2,31794,Jarred Gillett
139,13,12,'1 - 2,30850,Michael Salisbury
140,13,1,'0 - 1,32226,Craig Pawson
141,13,16,'4 - 0,32202,Robert Jones
142,13,17,'0 - 0,31298,Andy Madley
143,13,11,'2 - 0,30814,Peter Bankes
144,13,5,'0 - 1,32223,Robert Jones
145,13,7,'0 - 3,32185,Jarred Gillett
146,13,18,'0 - 1,30813,Darren Bond
147,13,15,'2 - 2,32056,Thomas Bramall
148,14,18,'0 - 0,31178,John Brooks
149,14,7,'1 - 1,31311,Peter Bankes
150,14,12,'1 - 0,30546,John Brooks
151,14,5,'0 - 3,31578,Anthony Taylor
152,14,16,'1 - 0,31554,Thomas Bramall
153,14,13,'0 - 4,31425,Michael Oliver
154,14,15,'2 - 3,30732,Graham Scott
155,14,4,'0 - 2,34624,Stuart Attwell
156,14,1,'0 - 1,31658,Robert Jones
157,14,2,'1 - 0,31511,Simon Hooper
158,14,6,'3 - 0,31664,Paul Tierney
159,2,5,'0 - 2,62443,Michael Oliver
160,2,15,'0 - 2,62449,Anthony Taylor
161,2,3,'1 - 1,62450,Peter Bankes
162,2,14,'2 - 0,62444,Paul Tierney
163,2,18,'3 - 1,62407,Chris Kavanagh
164,2,20,'2 - 0,62447,David Coote
165,2,17,'1 - 2,62451,Paul Tierney
166,2,13,'0 - 2,62459,Jarred Gillett
167,2,19,'0 - 2,62467,Darren England
168,2,10,'2 - 0,62470,Stuart Attwell
169,11,14,'2 - 1,36347,Robert Jones
170,11,9,'3 - 0,36372,Stuart Attwell
171,11,10,'1 - 1,36338,Darren England
172,11,8,'0 - 0,36582,Stuart Attwell
173,11,4,'0 - 1,36700,Chris Kavanagh
174,11,18,'2 - 3,36447,Anthony Taylor
175,11,20,'4 - 3,36304,Tony Harrington
176,11,5,'1 - 3,36889,Stuart Attwell
177,11,2,'2 - 2,36173,David Coote
178,11,19,'0 - 0,36260,Peter Bankes
179,10,9,'0 - 1,39254,Craig Pawson
180,10,16,'1 - 1,39271,Andre Marriner
181,10,6,'0 - 0,39240,Anthony Taylor
182,10,2,'1 - 0,39298,Michael Oliver
183,10,1,'1 - 2,39258,David Coote
184,10,17,'3 - 0,38939,Simon Hooper
185,10,13,'0 - 2,39206,David Coote
186,10,14,'1 - 2,39252,Craig Pawson
187,10,15,'1 - 4,39103,Andre Marriner
188,10,12,'1 - 2,39305,John Brooks
189,10,4,'1 - 0,39314,David Coote
190,20,8,'2 - 0,11013,Peter Bankes
191,20,4,'0 - 3,10423,Craig Pawson
192,20,14,'0 - 0,10113,Anthony Taylor
193,20,19,'0 - 0,10126,Thomas Bramall
194,20,13,'2 - 1,10272,Michael Salisbury
195,20,12,'0 - 1,10405,John Brooks
196,20,3,'2 - 3,10430,Anthony Taylor
197,20,10,'3 - 0,10382,Craig Pawson
198,20,17,'0 - 2,9972,Andre Marriner
199,20,16,'1 - 1,10248,Andy Madley
200,12,11,'2 - 2,30815,Tony Harrington
201,12,1,'0 - 1,31196,Andy Madley
202,12,9,'2 - 1,31542,Michael Oliver
203,12,10,'1 - 2,30510,Andre Marriner
204,12,2,'1 - 1,29159,Peter Bankes
205,12,4,'1 - 1,31145,Robert Jones
206,12,7,'1 - 4,30402,Stuart Attwell
207,12,15,'1 - 3,31010,Robert Jones
208,12,16,'0 - 1,30150,Thomas Bramall
209,12,8,'0 - 1,30158,Michael Salisbury
210,25,39,'4 - 0,36559,Francesco Fourneau
211,25,31,'1 - 1,37573,Matteo Marcenaro
212,25,40,'1 - 0,32839,Alberto Santoro
213,25,33,'3 - 1,35953,Luca Massimi
214,25,29,'3 - 2,50000,Francesco Cosso
215,25,35,'4 - 0,45000,Antonio Rapuano
216,25,36,'2 - 0,36000,Luca Pairetto
217,25,34,'3 - 2,51000,Giovanni Ayroldi
218,25,27,'5 - 1,60000,Daniele Doveri
219,22,40,'3 - 0,71212,Davide Ghersini
220,22,38,'3 - 1,70750,Francesco Fourneau
221,22,33,'1 - 0,69134,Giovanni Ayroldi
222,22,23,'1 - 2,75389,Davide Massa
223,22,32,'2 - 0,75452,Juan Sacchi
224,22,30,'3 - 0,73311,Luca Massimi
225,22,29,'6 - 1,69312,Andrea Colombo
226,22,25,'1 - 0,75470,Simone Sozza
227,22,28,'1 - 0,70734,Michael Fabbri
228,23,38,'1 - 0,60859,Luca Massimi
229,23,39,'3 - 0,60669,Marco Piccinini
230,23,37,'0 - 1,61335,Daniele Chiffi
231,23,31,'2 - 1,64018,Alessandro Prontera
232,23,25,'0 - 1,61633,Massimiliano Irrati
233,23,24,'0 - 1,62847,Daniele Orsato
234,23,33,'1 - 1,61168,Antonio Rapuano
235,23,29,'1 - 0,62092,Alberto Santoro
236,23,26,'2 - 0,61327,Antonio Giua
237,24,29,'2 - 1,45000,Luca Massimi
238,24,22,'3 - 1,52500,Michael Fabbri
239,24,25,'1 - 2,39000,Simone Sozza
240,24,28,'2 - 0,38000,Massimiliano Irrati
241,24,40,'4 - 0,41000,Juan Sacchi
242,24,34,'0 - 0,45000,Andrea Colombo
243,24,32,'1 - 3,40000,Gianluca Manganiello
244,24,39,'1 - 0,36000,Alberto Santoro
245,24,36,'2 - 2,31000,Ivan Pezzuto
246,37,21,'1 - 1,19216,Fabio Maresca
247,37,33,'3 - 1,17928,Marco Di Bello
248,37,38,'1 - 1,18252,Andrea Colombo
249,37,26,'1 - 0,18265,Massimiliano Irrati
250,37,35,'2 - 1,17772,Matteo Marcenaro
251,37,24,'0 - 2,18988,Rosario Abisso
252,37,25,'1 - 2,19363,Maurizio Mariani
253,37,22,'2 - 3,19353,Daniele Chiffi
254,37,32,'8 - 2,18499,Gianluca Aureliano
255,21,34,'4 - 2,70197,Livio Marinelli
256,21,29,'2 - 0,70430,Gianluca Manganiello
257,21,22,'3 - 2,75475,Daniele Chiffi
258,21,25,'1 - 2,72573,Maurizio Mariani
259,21,27,'2 - 0,75530,Daniele Orsato
260,21,39,'4 - 1,72938,Livio Marinelli
261,21,40,'2 - 1,71099,Michael Fabbri
262,21,26,'2 - 1,73007,Simone Sozza
263,21,23,'2 - 2,74103,Davide Massa
264,33,24,'0 - 0,16530,Marco Piccinini
265,33,31,'1 - 0,19087,Manuel Volpi
266,33,35,'0 - 1,14822,Niccolò Baroni
267,33,36,'1 - 1,16793,Francesco Fourneau
268,33,27,'0 - 1,22269,Maurizio Mariani
269,33,21,'2 - 1,26133,Rosario Abisso
270,33,30,'2 - 0,15593,Davide Massa
271,33,28,'1 - 1,15000,Federico Dionisi
272,33,40,'0 - 1,15113,Davide Ghersini
273,34,32,'0 - 0,17054,Gianluca Aureliano
274,34,26,'1 - 0,19684,Maurizio Mariani
275,34,23,'4 - 0,24108,Fabio Maresca
276,34,22,'3 - 1,22475,Paolo Valeri
277,34,37,'2 - 2,24671,Daniele Doveri
278,34,33,'1 - 2,20711,Matteo Marchetti
279,34,31,'1 - 1,21834,Francesco Fourneau
280,34,36,'1 - 1,19237,Marco Serra
281,34,29,'1 - 2,20486,Manuel Volpi
282,29,28,'1 - 1,17725,Matteo Marcenaro
283,29,32,'1 - 1,19787,Davide Ghersini
284,29,26,'2 - 1,18901,Daniele Orsato
285,29,36,'0 - 1,15670,Manuel Volpi
286,29,30,'1 - 1,20871,Marco Piccinini
287,29,31,'2 - 0,24206,Simone Sozza
288,29,33,'2 - 1,23168,Antonio Giua
289,29,35,'3 - 0,20811,Ivan Pezzuto
290,29,37,'1 - 2,16953,Marco Di Bello
291,27,35,'3 - 0,38725,Antonio Rapuano
292,27,23,'1 - 1,41003,Massimiliano Irrati
293,27,40,'2 - 0,35709,Andrea Colombo
294,27,32,'2 - 2,35097,Matteo Marcenaro
295,27,29,'3 - 0,34662,Rosario Abisso
296,27,36,'4 - 0,37771,Michael Fabbri
297,27,22,'2 - 0,40093,Daniele Doveri
298,27,24,'3 - 0,38729,Davide Massa
299,27,34,'1 - 0,39536,Matteo Marchetti
300,39,33,'1 - 2,10739,Maurizio Mariani
301,39,34,'1 - 2,9955,Marco Di Bello
302,39,37,'0 - 2,11970,Juan Sacchi
303,39,27,'1 - 0,12878,Fabio Maresca
304,39,40,'2 - 0,12094,Daniele Perenzoni
305,39,29,'1 - 2,11388,Luca Pairetto
306,39,28,'2 - 0,11723,Francesco Cosso
307,39,32,'3 - 0,12372,Antonio Giua
308,39,22,'2 - 2,13622,Juan Sacchi
309,36,26,'0 - 0,10411,Matteo Marchetti
310,36,28,'1 - 1,7269,Marco Serra
311,36,23,'1 - 2,4560,Livio Marinelli
312,36,21,'1 - 3,15497,Gianluca Aureliano
313,36,39,'1 - 0,7258,Antonio Rapuano
314,36,37,'0 - 2,8740,Giovanni Ayroldi
315,36,35,'1 - 0,7834,Ermanno Feliciani
316,36,38,'2 - 0,8077,Federico Dionisi
317,36,30,'1 - 0,10364,Alberto Santoro
318,26,38,'3 - 2,34461,Juan Sacchi
319,26,25,'0 - 0,32286,Livio Marinelli
320,26,27,'1 - 1,36550,Daniele Doveri
321,26,28,'2 - 0,32216,Antonio Rapuano
322,26,24,'0 - 4,30574,Fabio Maresca
323,26,22,'3 - 4,36699,Paolo Valeri
324,26,32,'2 - 1,27329,Federico La Penna
325,26,39,'1 - 1,31190,Ermanno Feliciani
