Team,Venue,Opponent,Score,Attendance,Referee
Leverkusen,Home,Dortmund,'0 - 2,30210,Tobias Welz
KÃ¶ln,Home,Schalke 04,'3 - 1,50000,Robert Schröder
KÃ¶ln,Home,Stuttgart,'0 - 0,50000,Harm Osmers
KÃ¶ln,Home,Union Berlin,'0 - 1,49500,Benjamin Cortus
KÃ¶ln,Home,Dortmund,'3 - 2,50000,Harm Osmers
KÃ¶ln,Home,Augsburg,'3 - 2,49000,Felix Zwayer
KÃ¶ln,Home,Hoffenheim,'1 - 1,49000,Frank Willenborg
KÃ¶ln,Home,Leverkusen,'1 - 2,50000,Tobias Stieler
KÃ¶ln,Home,Werder Bremen,'7 - 1,50000,Robert Schröder
Mainz 05,Home,Union Berlin,'0 - 0,25009,Daniel Schlager
Mainz 05,Home,Leverkusen,'0 - 3,28500,Christian Dingert
Mainz 05,Home,Hertha BSC,'1 - 1,25300,Frank Willenborg
Mainz 05,Home,RB Leipzig,'1 - 1,26100,Felix Brych
Mainz 05,Home,Köln,'5 - 0,31610,Matthias Jöllenbeck
Mainz 05,Home,Wolfsburg,'0 - 3,26750,Daniel Siebert
Mainz 05,Home,Eint Frankfurt,'1 - 1,33305,Robert Schröder
Mainz 05,Home,Dortmund,'1 - 2,31500,Sascha Stegemann
Mainz 05,Home,Bochum,'5 - 2,23300,Patrick Ittrich
Augsburg,Home,Freiburg,'0 - 4,25310,Bastian Dankert
Augsburg,Home,Mainz 05,'1 - 2,23755,Sascha Stegemann
Augsburg,Home,Hertha BSC,'0 - 2,25789,Harm Osmers
Augsburg,Home,Bayern Munich,'1 - 0,30660,Marco Fritz
Augsburg,Home,Wolfsburg,'1 - 1,26220,Daniel Siebert
Augsburg,Home,RB Leipzig,'3 - 3,25109,Robert Schröder
Augsburg,Home,Eint Frankfurt,'1 - 2,30087,Deniz Aytekin
Augsburg,Home,Bochum,'0 - 1,28011,Felix Brych
Augsburg,Home,M'Gladbach,'1 - 0,23158,Daniel Schlager
Augsburg,Home,Leverkusen,'1 - 0,27318,Marco Fritz
Hoffenheim,Home,Bochum,'3 - 2,17005,Patrick Ittrich
Hoffenheim,Home,Augsburg,'1 - 0,17206,Tobias Welz
Hoffenheim,Home,Mainz 05,'4 - 1,20114,Daniel Schlager
Hoffenheim,Home,Freiburg,'0 - 0,24233,Deniz Aytekin
Hoffenheim,Home,Werder Bremen,'1 - 2,25410,Benjamin Cortus
Hoffenheim,Home,Bayern Munich,'0 - 2,30150,Sven Jablonski
Hoffenheim,Home,RB Leipzig,'1 - 3,23127,Martin Petersen
Hoffenheim,Home,Wolfsburg,'1 - 2,18014,Daniel Schlager
Hoffenheim,Home,Stuttgart,'2 - 2,23159,Florian Badstübner
Bochum,Home,Mainz 05,'1 - 2,24110,Felix Zwayer
Bochum,Home,Bayern Munich,'0 - 7,26000,Daniel Siebert
Bochum,Home,Werder Bremen,'0 - 2,25800,Robert Schröder
Bochum,Home,Köln,'1 - 1,25800,Bastian Dankert
Bochum,Home,Eint Frankfurt,'3 - 0,24850,Martin Petersen
Bochum,Home,Union Berlin,'2 - 1,25460,Deniz Aytekin
Bochum,Home,M'Gladbach,'2 - 1,25900,Daniel Schlager
Bochum,Home,Hertha BSC,'3 - 1,26000,Martin Petersen
Bochum,Home,Hoffenheim,'5 - 2,23700,Bastian Dankert
Stuttgart,Home,RB Leipzig,'1 - 1,46000,Tobias Stieler
Stuttgart,Home,Freiburg,'0 - 1,47500,Felix Brych
Stuttgart,Home,Schalke 04,'1 - 1,47500,Florian Badstübner
Stuttgart,Home,Eint Frankfurt,'1 - 3,47500,Daniel Siebert
Stuttgart,Home,Union Berlin,'0 - 1,43250,Bastian Dankert
Stuttgart,Home,Bochum,'4 - 1,45400,Christian Dingert
Stuttgart,Home,Augsburg,'2 - 1,46400,Tobias Stieler
Stuttgart,Home,Hertha BSC,'2 - 1,44500,Frank Willenborg
Stuttgart,Home,Mainz 05,'1 - 1,45903,Felix Brych
Stuttgart,Home,Werder Bremen,'0 - 2,47700,Frank Willenborg
Hertha BSC,Home,Eint Frankfurt,'1 - 1,45000,Frank Willenborg
Hertha BSC,Home,Dortmund,'0 - 1,62142,Tobias Stieler
Hertha BSC,Home,Leverkusen,'2 - 2,40643,Benjamin Brand
Hertha BSC,Home,Hoffenheim,'1 - 1,41653,Christian Dingert
Hertha BSC,Home,Freiburg,'2 - 2,40481,Robert Schröder
Hertha BSC,Home,Schalke 04,'2 - 1,60165,Martin Petersen
Hertha BSC,Home,Bayern Munich,'2 - 3,74667,Bastian Dankert
Hertha BSC,Home,Köln,'2 - 0,60827,Christian Dingert
Hertha BSC,Home,Wolfsburg,'0 - 5,29483,Tobias Reichel
Hertha BSC,Home,Union Berlin,'0 - 2,74667,Felix Brych
Schalke 04,Home,M'Gladbach,'2 - 2,62271,Sven Jablonski
Schalke 04,Home,Union Berlin,'1 - 6,62271,Robert Hartmann
Schalke 04,Home,Bochum,'3 - 1,62041,Felix Zwayer
Schalke 04,Home,Augsburg,'2 - 3,60328,Daniel Schlager
Schalke 04,Home,Hoffenheim,'0 - 3,59811,Florian Badstübner
Schalke 04,Home,Freiburg,'0 - 2,61115,Christian Dingert
Schalke 04,Home,Mainz 05,'1 - 0,58256,Tobias Reichel
Schalke 04,Home,Bayern Munich,'0 - 2,62271,Felix Zwayer
Schalke 04,Home,RB Leipzig,'1 - 6,56841,Benjamin Cortus
Schalke 04,Home,Köln,'0 - 0,61571,Matthias Jöllenbeck
