139,Ryan Sessegnon,ENG,DF,22
140,Yves Bissouma,MLI,MF,26
141,Matt Doherty,IRL,"DF,MF",31
142,Davinson Sánchez,COL,DF,26
143,Richarlison,BRA,"MF,FW",25
144,Oliver Skipp,ENG,MF,22
145,Bryan,ESP,"MF,FW",21
146,Pape Matar Sarr,SEN,MF,20
147,Fraser Forster,ENG,GK,34
148,Japhet Tanganga,ENG,DF,23
149,Lucas Moura,BRA,"MF,DF",30
150,Djed Spence,ENG,"FW,DF",22
151,Harvey White,ENG,MF,21
152,Arnaut Danjuma,NED,"FW,MF",26
153,Pedro Porro,ESP,"DF,MF",23
154,Robert Sánchez,ESP,GK,25
155,Lewis Dunk,ENG,DF,31
156,Pascal Groß,GER,"MF,DF",31
157,Solly March,ENG,"FW,DF",28
158,Moisés Caicedo,ECU,MF,21
159,Alexis Mac Allister,ARG,MF,24
160,Leandro Trossard,BEL,"FW,MF",28
161,Joël Veltman,NED,DF,31
162,Pervis Estupiñán,ECU,DF,25
163,Adam Webster,ENG,DF,28
164,Danny Welbeck,ENG,FW,32
165,Adam Lallana,ENG,"MF,FW",34
166,Kaoru Mitoma,JPN,"FW,DF",25
167,Levi Colwill,ENG,DF,19
168,Tariq Lamptey,GHA,DF,22
169,Enock Mwepu,ZAM,"FW,MF",25
170,Evan Ferguson,IRL,FW,18
171,Billy Gilmour,SCO,MF,21
172,Deniz Undav,GER,"FW,MF",26
173,Jeremy Sarmiento,ECU,MF,20
174,Jan Paul van Hecke,NED,DF,22
175,Julio César Enciso,PAR,"FW,MF",19
176,Facundo Buonanotte,ARG,"MF,FW",18
177,Andrew Moran,IRL,FW,19
178,Steven Alzate,COL,MF,24
179,James Furlong,IRL,DF,20
180,Jack Hinshelwood,ENG,MF,17
181,Neal Maupay,FRA,"FW,MF",26
182,Odeluga Offiah,ENG,DF,20
183,Jason Steele,ENG,GK,32
184,Ed Turns,WAL,DF,20
185,David Raya,ESP,GK,27
186,Bryan Mbeumo,CMR,FW,23
187,Mathias Jensen,DEN,MF,27
188,Rico Henry,ENG,DF,25
189,Ben Mee,ENG,DF,33
190,Ivan Toney,ENG,FW,26
191,Vitaly Janelt,GER,"MF,DF",24
192,Ethan Pinnock,JAM,DF,29
193,Josh Dasilva,ENG,MF,24
194,Christian Nørgaard,DEN,MF,28
195,Yoane Wissa,COD,FW,26
196,Mads Roerslev,DEN,DF,23
197,Aaron Hickey,SCO,DF,20
198,Mathias Jørgensen,DEN,DF,32
199,Kristoffer Ajer,NOR,DF,24
200,Pontus Jansson,SWE,DF,31
201,Frank Onyeka,NGA,MF,25
202,Shandon Baptiste,GRN,MF,24
203,Keane Lewis-Potter,ENG,"FW,MF",21
204,Mikkel Damsgaard,DEN,"MF,FW",22
205,Saman Ghoddos,IRN,"MF,FW",29
206,Sergi Canós,ESP,"FW,DF",26
207,Kevin Schade,GER,"FW,MF",21
208,Mads Bech Sørensen,DEN,"DF,MF",24
209,Halil Dervişoğlu,TUR,MF,23
210,Matthew Cox,ENG,GK,19
211,Tristan Crama,FRA,MF,21
212,Charlie Goode,ENG,DF,27
213,Finley Stevens,WAL,DF,19
214,Thomas Strakosha,ALB,GK,27
215,Ryan Trevitt,ENG,MF,19
216,Yehor Yarmoliuk,UKR,MF,18
217,Tim Ream,USA,DF,35
218,Andreas Pereira,BRA,MF,27
219,João Palhinha,POR,MF,27
220,Bobby Reid,JAM,"FW,DF",30
221,Harrison Reed,ENG,MF,28
222,Bernd Leno,GER,GK,30
223,Antonee Robinson,USA,DF,25
224,Aleksandar Mitrović,SRB,FW,28
225,Kenny Tete,NED,DF,27
226,Willian,BRA,FW,34
227,Tosin Adarabioyo,ENG,DF,25
228,Issa Diop,FRA,DF,26
229,Neeskens Kebano,COD,FW,30
230,Carlos Vinícius,BRA,FW,27
231,Daniel James,WAL,FW,25
232,Harry Wilson,WAL,FW,25
233,Marek Rodák,SVK,GK,26
234,Layvin Kurzawa,FRA,DF,30
235,Tom Cairney,SCO,MF,32
236,Kevin Mbabu,SUI,"DF,FW",27
237,Jay Stansfield,ENG,FW,20
238,Nathaniel Chalobah,ENG,MF,28
239,Manor Solomon,ISR,FW,23
240,Josh Onomah,ENG,MF,25
241,Luke Harris,WAL,"MF,FW",17
242,Shane Duffy,IRL,"FW,DF",31
243,Tyrese Francois,AUS,FW,22
244,Terry Ablade,FIN,FW,21
245,Martial Godo,ENG,MF,19
246,Rodrigo Muniz,BRA,FW,21
247,Stefan Parkes,ENG,DF,18
248,Kristian Sekularac,ENG,MF,19
249,Mason Mount,ENG,"MF,FW",24
250,Thiago Silva,BRA,DF,38
251,Kai Havertz,GER,"FW,MF",23
252,Marc Cucurella,ESP,DF,24
253,Jorginho,ITA,MF,31
254,Raheem Sterling,ENG,"FW,MF",28
255,Kepa Arrizabalaga,ESP,GK,28
256,Kalidou Koulibaly,SEN,DF,31
257,Ruben Loftus-Cheek,ENG,"MF,DF",27
258,Trevoh Chalobah,ENG,DF,23
259,César Azpilicueta,ESP,DF,33
260,Conor Gallagher,ENG,"MF,FW",23
261,Edouard Mendy,SEN,GK,30
262,Reece James,ENG,"DF,MF",23
263,Mateo Kovačić,CRO,MF,28
264,Christian Pulisic,USA,"FW,DF",24
265,Hakim Ziyech,MAR,"FW,MF",29
266,Pierre-Emerick Aubameyang,GAB,FW,33
267,Ben Chilwell,ENG,"DF,MF",26
268,Lewis Hall,ENG,"DF,MF",18
269,Denis Zakaria,SUI,MF,26
270,Benoît Badiashile,FRA,DF,21
