Player,club_name,Nation,Pos,Age,MP,Gls,Ast
Axel Disasi,Monaco,FRA,DF,24,22,2,3
Youssouf Fofana,Monaco,FRA,MF,24,21,1,1
Caio Henrique Oliveira Silva,Monaco,BRA,DF,25,19,1,7
Breel Embolo,Monaco,SUI,FW,25,22,12,2
Aleksandr Golovin,Monaco,RUS,"MF,FW",26,21,4,6
Guillermo Maripán,Monaco,CHI,DF,28,17,3,0
Mohamed Camara,Monaco,MLI,MF,23,17,0,2
Wissam Ben Yedder,Monaco,FRA,FW,32,18,12,2
Vanderson,Monaco,BRA,DF,21,20,0,3
Krépin Diatta,Monaco,SEN,"MF,FW",23,18,2,1
Benoît Badiashile,Monaco,FRA,DF,21,11,2,0
Takumi Minamino,Monaco,JPN,"MF,FW",28,11,1,3
Eliot Matazo,Monaco,BEL,"MF,FW",20,10,0,0
Ruben Aguilar,Monaco,FRA,DF,29,12,0,0
Eliesse Ben Seghir,Monaco,FRA,FW,17,6,3,0
Ismail Jakobs,Monaco,SEN,"DF,MF",23,18,0,2
Malang Sarr,Monaco,FRA,DF,24,9,0,0
Gelson Martins,Monaco,POR,"MF,FW",27,10,0,0
Jean Lucas,Monaco,BRA,MF,24,6,0,0
Kevin Volland,Monaco,GER,"MF,FW",30,8,2,1
Maghnes Akliouche,Monaco,FRA,"MF,DF",20,6,0,0
Sofiane Diop,Monaco,FRA,MF,22,1,1,0
Soungoutou Magassa,Monaco,MLI,MF,19,1,0,0
Myron Boadu,Monaco,NED,FW,22,4,1,0
Thomas Didillon,Monaco,FRA,GK,27,0,0,0
Félix Lemaréchal,Monaco,CIV,MF,19,0,0,0
Chrislain Matsima,Monaco,FRA,DF,20,0,0,0
Arthur Theate,Rennes,BEL,DF,22,22,2,0
Benjamin Bourigeaud,Rennes,FRA,"MF,FW",29,21,3,5
Steve Mandanda,Rennes,FRA,GK,37,20,0,1
Adrien Truffert,Rennes,FRA,DF,21,22,0,6
Hamari Traoré,Rennes,MLI,DF,31,19,1,2
Amine Gouiri,Rennes,FRA,FW,22,17,9,1
Flavien Tait,Rennes,FRA,MF,30,22,2,2
Martin Terrier,Rennes,FRA,"FW,MF",25,16,9,4
Joe Rodon,Rennes,WAL,DF,25,13,1,0
Arnaud Kalimuendo,Rennes,FRA,FW,21,15,4,1
Lovro Majer,Rennes,CRO,"MF,FW",25,17,1,2
Baptiste Santamaria,Rennes,FRA,MF,27,10,1,0
Chimuanya Ugochukwu,Rennes,FRA,MF,18,14,0,0
Christopher Wooh,Rennes,CMR,DF,21,9,0,0
Désiré Doué,Rennes,FRA,"MF,FW",17,16,3,1
Xeka,Rennes,POR,MF,28,8,0,0
Birger Meling,Rennes,NOR,DF,28,16,0,0
Gaëtan Laborde,Rennes,FRA,FW,28,4,2,0
Jeremy Doku,Rennes,BEL,"MF,FW",20,15,0,0
Kamaldeen Sulemana,Rennes,GHA,"FW,MF",20,14,1,0
Doğan Alemdar,Rennes,TUR,GK,20,3,0,0
Lorenz Assignon,Rennes,TOG,DF,22,6,0,1
Warmed Omari,Rennes,FRA,DF,22,2,0,0
Karl Toko Ekambi,Rennes,CMR,"FW,MF",30,2,0,0
Loïc Bade,Rennes,FRA,DF,22,1,0,1
Djed Spence,Rennes,ENG,DF,22,1,0,0
Matthis Abline,Rennes,FRA,"FW,MF",19,11,1,0
Sehrou Guirassy,Rennes,GUI,MF,26,1,0,0
Jeanöel Belocian,Rennes,FRA,DF,17,1,0,0
Alan Do Marcolino,Rennes,GAB,FW,20,1,0,0
Guela Doué,Rennes,FRA,FW,20,1,0,0
Ibrahim Salah,Rennes,BEL,MF,21,1,0,0
Romain Salin,Rennes,FRA,GK,38,0,0,0
Noah Francoise,Rennes,FRA,MF,19,0,0,0
Léo Rouille,Rennes,FRA,DF,18,0,0,0
Gabriel Tutu,Rennes,FRA,FW,19,0,0,0
Angel Gomes,Lille,ENG,MF,22,21,2,3
Jonathan David,Lille,CAN,FW,23,21,12,4
Benjamin André,Lille,FRA,MF,32,20,1,1
Tiago Djaló,Lille,POR,DF,22,21,2,0
Bafodé Diakité,Lille,FRA,DF,22,21,0,0
José Fonte,Lille,POR,DF,39,19,1,0
Ismaily,Lille,BRA,DF,33,18,2,1
Jonathan Bamba,Lille,FRA,FW,26,18,4,3
Lucas Chevalier,Lille,FRA,GK,21,16,0,0
Rémy Cabella,Lille,FRA,"MF,FW",32,16,4,6
Adam Ounas,Lille,ALG,FW,26,13,1,1
André Gomes,Lille,POR,MF,29,14,1,0
Timothy Weah,Lille,USA,"DF,FW",22,13,0,2
Edon Zhegrova,Lille,KVX,"FW,DF",23,12,1,2
Leonardo César Jardim,Lille,BRA,GK,27,6,0,0
Mohamed Lamine Bayo,Lille,GUI,"FW,MF",24,15,3,0
Leny Yoro,Lille,FRA,"DF,MF",17,6,0,0
Alexsandro Ribeiro,Lille,BRA,DF,23,8,1,0
Akim Zedadka,Lille,ALG,"DF,MF",27,8,1,0
Carlos Baleba,Lille,CMR,MF,19,9,0,0
Yusuf Yazıcı,Lille,TUR,MF,26,4,1,1
Alan Virginius,Lille,FRA,FW,20,10,1,0
Jonas Martin,Lille,FRA,MF,32,9,0,0
Gabriel Gudmundsson,Lille,SWE,"FW,DF",23,5,0,0
Benoît Costil,Lille,FRA,GK,35,0,0,0
Ichem Ferrah,Lille,FRA,MF,17,0,0,0
Adam Jakubech,Lille,SVK,GK,26,0,0,0
Isaac Lihadji,Lille,FRA,FW,20,0,0,0
Matteo Makhabé,Lille,FRA,MF,19,0,0,0
Simon Ramet,Lille,FRA,MF,19,0,0,0
Vincent Le Goff,Lorient,FRA,DF,33,22,0,0
Montassar Talbi,Lorient,TUN,DF,24,22,1,1
Enzo Le Fée,Lorient,FRA,MF,23,22,4,5
Gedeon Kalulu,Lorient,COD,DF,25,19,0,3
Dango Ouattara,Lorient,BFA,"FW,MF",20,18,6,5
Julien Laporte,Lorient,FRA,DF,29,18,0,0
Terem Moffi,Lorient,NGA,FW,23,18,12,0
Laurent Abergel,Lorient,FRA,MF,30,15,0,1
Yvon Mvogo,Lorient,SUI,GK,28,14,0,0
Julien Ponceau,Lorient,FRA,MF,22,19,0,4
Théo Le Bris,Lorient,FRA,"MF,DF",20,16,2,1
Stéphane Diarra,Lorient,FRA,FW,24,19,1,0
Bonke Innocent,Lorient,NGA,MF,27,19,0,1
Vito Mannone,Lorient,ITA,GK,34,9,0,0
Ibrahima Koné,Lorient,MLI,FW,23,21,3,1
Yoann Cathline,Lorient,FRA,"FW,MF",20,10,1,1
Armand Lauriente,Lorient,FRA,FW,24,3,1,0
Bamo Meïté,Lorient,CIV,DF,21,3,0,0
Chrislain Matsima,Lorient,FRA,"DF,MF",20,6,0,0
Quentin Boisgard,Lorient,FRA,MF,25,5,1,0
Jean-Victor Makengo,Lorient,FRA,MF,24,2,0,0
Romain Faivre,Lorient,FRA,FW,24,2,0,0
Bamba Dieng,Lorient,SEN,"FW,MF",22,2,0,0
Adil Aouchiche,Lorient,FRA,"MF,FW",20,6,0,0
Darlin Yongwa,Lorient,CMR,"FW,DF",22,4,0,0
Ckene Doucouré,Lorient,COM,"FW,MF",20,5,0,1
Adrian Grbić,Lorient,AUT,"MF,FW",26,2,0,0
Igor Carioca,Lorient,BRA,FW,26,1,0,0
Teddy Bartouche,Lorient,FRA,GK,25,0,0,0
Paul Bellon,Lorient,FRA,MF,23,0,0,0
Samuel Loric,Lorient,FRA,FW,22,0,0,0
Loris Mouyokolo,Lorient,CGO,DF,21,0,0,0
Paul Nardi,Lorient,FRA,GK,28,0,0,0
Pablo Pagis,Lorient,FRA,FW,20,0,0,0
Léo Pétrot,Lorient,FRA,DF,25,0,0,0
Julian Pollersbeck,Lorient,GER,GK,28,0,0,0
Maxime Wackers,Lorient,FRA,DF,25,0,0,0
Dante,Nice,BRA,DF,39,21,0,1
Kasper Schmeichel,Nice,DEN,GK,36,20,0,0
Jean-Clair Todibo,Nice,FRA,DF,23,20,0,0
Jordan Lotomba,Nice,SUI,"DF,MF",24,21,0,1
Khéphren Thuram-Ulie,Nice,FRA,MF,21,22,1,3
Melvin Bard,Nice,FRA,DF,22,20,0,0
Gaëtan Laborde,Nice,FRA,"FW,MF",28,17,6,1
Nicolas Pépé,Nice,CIV,"FW,MF",27,15,6,0
Mario Lemina,Nice,GAB,"MF,DF",29,14,0,0
Aaron Ramsey,Nice,WAL,MF,32,17,1,1
Sofiane Diop,Nice,FRA,"MF,FW",22,14,1,3
Pablo Rosario,Nice,NED,"MF,DF",26,16,0,0
Andy Delort,Nice,ALG,FW,31,14,6,1
Hicham Boudaoui,Nice,ALG,MF,23,12,0,1
Youcef Atal,Nice,ALG,"DF,MF",26,13,1,0
Mattia Viti,Nice,ITA,DF,21,8,1,0
Ross Barkley,Nice,ENG,"MF,FW",29,14,3,0
Bilal Brahimi,Nice,ALG,"FW,MF",22,14,1,2
Alexis Beka Beka,Nice,FRA,MF,21,8,0,0
Amine Gouiri,Nice,FRA,"FW,MF",22,3,0,0
Calvin Stengs,Nice,NED,FW,24,4,0,0
Marcin Bułka,Nice,POL,GK,23,2,0,0
Youssouf Ndayishimiye,Nice,BDI,"DF,MF",24,3,0,0
Joe Bryan,Nice,ENG,"MF,DF",29,5,0,0
Rareş Ilie,Nice,ROU,"MF,FW",19,4,0,0
Badredine Bouanani,Nice,ALG,"FW,MF",18,3,0,2
Flavius Daniliuc,Nice,AUT,DF,21,2,0,0
Antoine Mendy,Nice,FRA,"DF,FW",18,5,0,1
Terem Moffi,Nice,NGA,FW,23,1,0,0
Alexis Claude-Maurice,Nice,FRA,FW,24,2,0,0
Mads Bech Sørensen,Nice,DEN,DF,24,0,0,0
Reda Belahyane,Nice,FRA,MF,18,0,0,0
Teddy Boulhendi,Nice,FRA,GK,21,0,0,0
Yannis Nahounou,Nice,FRA,DF,18,0,0,0
Alexandre Lacazette,Lyon,FRA,FW,31,22,13,4
Nicolás Tagliafico,Lyon,ARG,DF,30,20,1,3
Anthony Lopes,Lyon,POR,GK,32,19,0,0
Castello Lukeba,Lyon,FRA,DF,20,19,1,0
Thiago Mendes,Lyon,BRA,"DF,MF",30,20,0,1
Maxence Caqueret,Lyon,FRA,MF,22,20,1,3
Malo Gusto,Lyon,FRA,DF,19,17,0,1
Karl Toko Ekambi,Lyon,CMR,"FW,MF",30,19,4,2
Tetê,Lyon,BRA,"FW,MF",22,17,6,2
Johann Lepenant,Lyon,FRA,MF,20,17,1,1
Corentin Tolisso,Lyon,FRA,MF,28,16,0,0
Sinaly Diomande,Lyon,CIV,DF,21,11,0,0
Rayan Cherki,Lyon,FRA,"MF,FW",19,19,2,3
Moussa Dembélé,Lyon,FRA,"FW,MF",26,15,2,0
Houssem Aouar,Lyon,FRA,MF,24,9,1,1
Dejan Lovren,Lyon,CRO,DF,33,5,0,0
Sael Kumbedi,Lyon,FRA,DF,17,7,0,0
Jérôme Boateng,Lyon,GER,DF,34,6,0,0
Damien Da Silva,Lyon,FRA,DF,34,7,0,0
Bradley Barcola,Lyon,FRA,"FW,MF",20,12,1,1
Rémy Riou,Lyon,FRA,GK,35,4,0,0
Romain Faivre,Lyon,FRA,MF,24,10,0,1
Lucas Paquetá,Lyon,BRA,MF,25,2,0,0
Jeff Reine-Adélaïde,Lyon,FRA,MF,25,14,0,0
Henrique,Lyon,BRA,DF,28,3,0,0
Amin Sarr,Lyon,SWE,"FW,MF",21,2,0,0
Mohamed El Arouch,Lyon,FRA,MF,18,0,0,0
Kayne Bonnevie,Lyon,FRA,GK,21,0,0,0
Djibrail Dib,Lyon,FRA,MF,20,0,0,0
Tino Kadewere,Lyon,ZIM,FW,27,0,0,0
Mamadou Sarr,Lyon,FRA,DF,17,0,0,0
Yunis Abdelhamid,Reims,MAR,DF,35,22,0,1
Emmanuel Agbadou,Reims,CIV,DF,25,19,0,2
Folarin Balogun,Reims,ENG,FW,21,21,14,1
Junya Ito,Reims,JPN,FW,29,19,4,1
Marshall Munetsi,Reims,ZIM,MF,26,19,3,1
Yehvann Diouf,Reims,FRA,GK,23,15,0,0
Azor Matusiwa,Reims,NED,MF,24,16,0,0
Alexis Flips,Reims,FRA,"DF,MF",23,17,2,3
Banzouzi Locko,Reims,FRA,DF,20,15,0,0
Andrew Gravillon,Reims,GLP,DF,25,13,0,0
Arber Zeneli,Reims,KVX,"FW,MF",27,18,0,2
Kamory Doumbia,Reims,MLI,MF,19,19,2,2
Dion Lopy,Reims,SEN,MF,21,17,0,0
Jens Cajuste,Reims,SWE,MF,23,16,1,1
Thibault De Smet,Reims,BEL,DF,24,8,0,1
Patrick Pentz,Reims,AUT,GK,26,7,0,0
Thomas Foket,Reims,BEL,DF,28,8,0,0
Maxime Busi,Reims,BEL,DF,23,9,0,1
Mitchell van Bergen,Reims,NED,"FW,DF",23,18,0,1
Wout Faes,Reims,BEL,DF,24,3,0,0
Noah Holm,Reims,NOR,"FW,MF",21,8,0,0
Ibrahim Diakité,Reims,GUI,DF,19,3,0,0
Check Keita,Reims,FRA,DF,19,2,0,0
El Bilal Touré,Reims,MLI,FW,21,3,0,0
Martin Adeline,Reims,FRA,"MF,FW",19,5,0,0
Nathanael Mbuku,Reims,FRA,"FW,MF",20,6,0,0
Myziane Maolida,Reims,FRA,FW,23,1,0,0
Kaj Sierhuis,Reims,NED,FW,24,2,0,0
Rafik Guitane,Reims,FRA,FW,23,1,0,0
Samuel Koeberlé,Reims,FRA,MF,18,0,0,0
Moustapha Mbow,Reims,SEN,DF,22,0,0,0
Alexandre Olliero,Reims,FRA,GK,26,0,0,0
Nicolas Penneteau,Reims,FRA,GK,41,0,0,0
Mory Diaw,Clermont Foot,SEN,GK,29,22,0,0
Mateusz Wieteska,Clermont Foot,POL,DF,25,22,0,1
Alidu Seidu,Clermont Foot,GHA,DF,22,20,0,0
Neto Borges,Clermont Foot,BRA,DF,26,19,2,0
Johan Gastien,Clermont Foot,FRA,MF,35,18,2,2
Yohann Magnin,Clermont Foot,FRA,"MF,DF",25,22,0,0
Saîf-Eddine Khaoui,Clermont Foot,TUN,"MF,FW",27,21,2,3
Maximiliano Caufriez,Clermont Foot,BEL,DF,25,15,0,0
Elba Rashani,Clermont Foot,KVX,"MF,DF",29,19,2,1
Komnen Andrić,Clermont Foot,SRB,FW,27,22,4,2
Muhammed Saracevic Cham,Clermont Foot,AUT,MF,22,22,4,2
Jim Allevinah,Clermont Foot,GAB,"DF,FW",27,20,1,0
Grejohn Kyei,Clermont Foot,FRA,FW,27,21,3,2
Florent Ogier,Clermont Foot,FRA,DF,33,13,0,1
Maxime Gonalons,Clermont Foot,FRA,MF,33,10,1,0
Jérémie Bela,Clermont Foot,ANG,DF,29,13,1,1
Jodel Dossou,Clermont Foot,BEN,"MF,DF",30,9,1,0
Arial Mendy,Clermont Foot,SEN,DF,28,5,0,0
Aïman Maurer,Clermont Foot,MAR,MF,18,1,0,0
Mehdi Zeffane,Clermont Foot,ALG,"DF,MF",30,6,0,0
Brandon Baiye,Clermont Foot,BEL,MF,22,7,0,0
Yanis Massolin,Clermont Foot,FRA,MF,20,4,0,0
Baila Diallo,Clermont Foot,FRA,DF,21,2,0,0
Jason Berthomier,Clermont Foot,FRA,MF,33,2,0,0
Jean-Claude Billong,Clermont Foot,CMR,MF,29,1,0,0
Souleymane Cissé,Clermont Foot,FRA,DF,20,1,0,0
Sofyan Chader,Clermont Foot,FRA,MF,22,0,0,0
Ouparine Djoco,Clermont Foot,SEN,GK,24,0,0,0
Wabo Kamdem,Clermont Foot,FRA,MF,20,0,0,0
Lucas Margueron,Clermont Foot,FRA,GK,21,0,0,0
Maxime Dupé,Toulouse,FRA,GK,29,22,0,0
Stijn Spierings,Toulouse,NED,MF,26,22,2,0
Anthony Rouault,Toulouse,FRA,DF,21,22,2,1
Branco van den Boomen,Toulouse,NED,MF,27,22,5,7
Rasmus Nicolaisen,Toulouse,DEN,DF,25,21,0,2
Zakaria Aboukhlal,Toulouse,MAR,"FW,MF",22,22,5,4
Issiaga Sylla,Toulouse,GUI,DF,29,17,0,0
Brecht Dejaegere,Toulouse,BEL,MF,31,18,4,1
Rafael Ratão,Toulouse,BRA,FW,27,17,4,2
Fares Chaïbi,Toulouse,FRA,"FW,MF",20,20,4,4
Thijs Dallinga,Toulouse,NED,FW,22,21,7,1
Mikkel Desler,Toulouse,DEN,DF,27,15,0,1
Moussa Diarra,Toulouse,MLI,DF,22,17,0,1
Ado Onaiwu,Toulouse,JPN,FW,27,19,1,1
Kévin Keben Biakolo,Toulouse,CMR,DF,19,10,0,0
Veljko Birmančević,Toulouse,SRB,"FW,MF",24,14,0,0
Oliver Zandén,Toulouse,SWE,"DF,MF",21,5,0,0
Gabriel Suazo,Toulouse,CHI,DF,25,3,0,0
Christian Mawissa,Toulouse,FRA,DF,17,2,0,0
Waren Kamanzi,Toulouse,NOR,DF,22,3,0,0
Nathan N'Goumou,Toulouse,FRA,FW,22,1,0,0
Yanis Begraoui,Toulouse,FRA,"FW,MF",21,3,0,0
Denis Genreau,Toulouse,AUS,"MF,FW",23,8,0,0
Rhys Healey,Toulouse,WAL,FW,28,3,1,0
Logan Costa,Toulouse,CPV,DF,21,1,0,0
Vincent Sierro,Toulouse,SUI,"MF,FW",27,3,0,0
Naatan Skyttä,Toulouse,FIN,MF,20,2,0,0
Theocharis Tsingaras,Toulouse,GRE,MF,22,1,0,0
Ylies Aradj,Toulouse,FRA,DF,17,0,0,0
Junior Flemmings,Toulouse,JAM,"FW,MF",27,0,0,0
Kjetil Haug,Toulouse,NOR,GK,24,0,0,0
Steve Mvoué,Toulouse,CMR,MF,21,0,0,0
Edhy Zuliani,Toulouse,ITA,MF,18,0,0,0
Alban Lafont,Nantes,FRA,GK,24,21,0,0
Andrei Girotto,Nantes,BRA,"DF,MF",30,21,1,1
Pedro Chirivella,Nantes,ESP,MF,25,19,0,1
Moses Simon,Nantes,NGA,"FW,MF",27,19,5,2
Ludovic Blas,Nantes,FRA,"MF,FW",25,22,4,1
Jean-Charles Castelletto,Nantes,CMR,DF,28,19,0,0
Nicolas Pallois,Nantes,FRA,DF,35,16,0,0
Quentin Merlin,Nantes,FRA,DF,20,16,0,1
Samuel Moutoussamy,Nantes,COD,MF,26,19,0,2
Moussa Sissoko,Nantes,FRA,MF,33,15,1,0
Mostafa Mohamed,Nantes,EGY,FW,25,22,5,2
Evann Guessand,Nantes,FRA,"FW,MF",21,21,2,2
Dennis Appiah,Nantes,FRA,"DF,MF",30,15,0,0
Ignatius Ganago,Nantes,CMR,"FW,MF",23,16,3,3
Fabien Centonze,Nantes,FRA,DF,27,10,0,0
Sébastien Corchia,Nantes,FRA,"DF,MF",32,18,0,1
Marcus Coco,Nantes,FRA,"DF,FW",26,14,1,0
Charles Traore,Nantes,MLI,DF,31,7,0,0
Fábio,Nantes,BRA,"DF,MF",32,6,0,0
Jaouen Hadjam,Nantes,FRA,DF,19,3,0,0
João Victor,Nantes,BRA,DF,24,2,0,0
Florent Mollet,Nantes,FRA,"MF,FW",31,3,0,0
Rémy Descamps,Nantes,FRA,GK,26,1,0,0
Abdoul Kader Bamba,Nantes,FRA,"FW,MF",28,4,0,0
Nathan Zeze,Nantes,FRA,DF,17,1,0,0
Lohann Doucet,Nantes,FRA,"MF,FW",20,8,0,0
Mohamed Achi,Nantes,FRA,FW,21,2,0,0
Andy Delort,Nantes,ALG,FW,31,2,0,0
Loïc Affamah,Nantes,FRA,FW,20,0,0,0
Junior Diaz,Nantes,FRA,DF,19,0,0,0
Gor Manvelyan,Nantes,FRA,MF,20,0,0,0
Denis Petrić,Nantes,SRB,GK,34,0,0,0
Robin Voisine,Nantes,FRA,DF,20,0,0,0
Marco Bizot,Brest,NED,GK,31,21,0,0
Franck Honorat,Brest,FRA,"FW,MF",26,22,3,3
Lilian Brassier,Brest,FRA,DF,23,20,0,0
Brendan Chardonnet,Brest,FRA,DF,28,18,0,0
Pierre Lees-Melou,Brest,FRA,MF,29,17,3,1
Haris Belkebla,Brest,ALG,MF,29,22,1,0
Jean-Kevin Duverne,Brest,FRA,DF,25,19,0,0
Mahdi Camara,Brest,FRA,MF,24,17,0,0
Mathias Pereira Lage,Brest,POR,"MF,FW",26,18,1,1
Noah Fadiga,Brest,SEN,DF,23,13,1,0
Islam Slimani,Brest,ALG,FW,34,16,1,1
Hugo Magnetti,Brest,FRA,MF,24,18,0,1
Jérémy Le Douaron,Brest,FRA,"FW,MF",24,17,5,1
Achraf Dari,Brest,MAR,DF,23,12,1,0
Christophe Hérelle,Brest,MTQ,DF,30,12,0,0
Romain Del Castillo,Brest,FRA,"FW,MF",26,12,4,3
Steve Mounié,Brest,BEN,FW,28,9,4,0
Kenny Lala,Brest,FRA,DF,31,5,0,0
Youcef Belaïli,Brest,ALG,"FW,MF",30,6,0,2
Jere Uronen,Brest,FIN,DF,28,6,0,1
Irvin Cardona,Brest,FRA,"FW,MF",25,10,0,0
Joaquín Blázquez,Brest,ARG,GK,22,1,0,0
Karamoko Dembele,Brest,SCO,"FW,MF",19,11,0,0
Alberth Elis,Brest,HON,"MF,FW",26,2,0,0
Axel Camblan,Brest,FRA,"FW,MF",19,7,0,0
Taïryk Arconte,Brest,FRA,"FW,MF",19,2,0,0
Hianga Mananga Mbock,Brest,FRA,MF,23,2,0,0
Félix Lemaréchal,Brest,CIV,MF,19,1,0,0
Grégoire Coudert,Brest,FRA,GK,23,0,0,0
Banzouzi Locko,Brest,FRA,MF,20,0,0,0
Téji Savanier,Montpellier,FRA,MF,31,18,7,1
Sepe Elye Wahi,Montpellier,FRA,FW,20,19,7,1
Jordan Ferri,Montpellier,FRA,MF,30,19,0,2
Christopher Jullien,Montpellier,FRA,DF,29,16,0,1
Maxime Estève,Montpellier,FRA,DF,20,18,0,0
Joris Chotard,Montpellier,FRA,MF,21,19,0,1
Nicolas Cozza,Montpellier,FRA,DF,24,17,2,1
Falaye Sacko,Montpellier,MLI,DF,27,19,0,2
Faitout Maouassa,Montpellier,FRA,"DF,FW",24,20,1,4
Jonas Omlin,Montpellier,SUI,GK,29,14,0,0
Arnaud Nordin,Montpellier,FRA,"FW,MF",24,20,4,1
Stephy Mavididi,Montpellier,ENG,FW,24,12,2,1
Enzo Tchato,Montpellier,CMR,DF,20,16,1,1
Wahbi Khazri,Montpellier,TUN,"FW,MF",32,14,2,1
Léo Leroy,Montpellier,FRA,MF,22,16,0,0
Valère Germain,Montpellier,FRA,"FW,MF",32,20,2,0
Mamadou Sakho,Montpellier,FRA,DF,32,10,1,0
Khalil Fayad,Montpellier,FRA,MF,18,13,0,2
Théo Sainte-Luce,Montpellier,FRA,DF,24,5,1,1
Bingourou Kamara,Montpellier,SEN,GK,26,5,0,0
Arnaud Souquet,Montpellier,FRA,"DF,FW",30,12,0,0
Benjamin Lecomte,Montpellier,FRA,GK,31,3,0,0
Boubakar Kouyaté,Montpellier,MLI,DF,25,2,0,0
Béni Makouana,Montpellier,CGO,"FW,MF",20,8,0,0
Matis Carvalho,Montpellier,POR,GK,23,2,0,0
Issiaga Sylla,Montpellier,GUI,DF,29,1,0,0
Cheikh Faye,Montpellier,SEN,FW,24,2,0,0
Sacha Delaye,Montpellier,FRA,"FW,MF",20,3,1,0
Axel Gueguin,Montpellier,FRA,"FW,MF",17,2,0,0
Téo Allix,Montpellier,FRA,DF,18,0,0,0
Dimitry Bertaud,Montpellier,FRA,GK,24,0,0,0
Redouane Halhal,Montpellier,MAR,DF,19,0,0,0
Matéo Loubatieres,Montpellier,FRA,MF,19,0,0,0
Pedro Mendes,Montpellier,POR,DF,32,0,0,0
Thibault Tamas,Montpellier,FRA,DF,22,0,0,0
Ryan Tchato Mbiayi,Montpellier,CMR,DF,18,0,0,0
Erik Palmer-Brown,Troyes,USA,DF,25,22,0,0
Rominigue Kouamé,Troyes,MLI,MF,26,20,0,1
Yoann Salmier,Troyes,GUF,DF,30,20,1,0
Mama Samba Baldé,Troyes,GNB,FW,27,20,9,3
Thierno Balde,Troyes,FRA,DF,20,18,0,0
Rony Lopes,Troyes,POR,"MF,FW",27,18,4,5
Gauthier Gallon,Troyes,FRA,GK,29,15,0,0
Xavier Chavalerin,Troyes,FRA,MF,31,20,2,2
Jackson Porozo,Troyes,ECU,DF,22,15,2,0
Yasser Larouci,Troyes,ALG,"DF,FW",22,19,1,0
Andreas Bruus,Troyes,DEN,"DF,FW",24,16,0,2
Renaud Ripart,Troyes,FRA,"FW,MF",29,19,3,1
Florian Tardieu,Troyes,FRA,MF,30,14,3,0
Abdu Conté,Troyes,POR,DF,24,12,1,1
Wilson Odobert,Troyes,FRA,"MF,FW",18,20,3,2
Mateusz Lis,Troyes,POL,GK,25,7,0,0
Adil Rami,Troyes,FRA,DF,37,7,0,0
Ike Ugbo,Troyes,CAN,"FW,MF",24,14,1,1
Lucien Agoume,Troyes,FRA,MF,20,5,0,0
Papa Ndiaga Yade,Troyes,SEN,"DF,MF",23,8,0,1
Tristan Dingomé,Troyes,CMR,MF,31,8,0,0
Alexis Tibidi,Troyes,FRA,FW,19,1,0,0
Kyliane Dong,Troyes,FRA,"DF,MF",18,3,0,0
Jeff Reine-Adélaïde,Troyes,FRA,MF,25,1,0,0
Amar Ahmed,Troyes,SWE,FW,18,1,0,0
Marlos Moreno,Troyes,COL,"MF,DF",26,2,0,0
Ante Palaversa,Troyes,CRO,MF,22,1,1,0
Mathis Hamdi,Troyes,FRA,DF,19,1,0,0
Jordan Dongmo,Troyes,CMR,MF,22,0,0,0
Derek Mazou-Sacko,Troyes,FRA,MF,18,0,0,0
Corentin Michel,Troyes,BEL,GK,22,0,0,0
Jessy Moulin,Troyes,FRA,GK,37,0,0,0
Eric N'Jo,Troyes,FRA,DF,18,0,0,0
Yoann Touzghar,Troyes,TUN,FW,36,0,0,0
Banhie Zoukrou,Troyes,FRA,DF,19,0,0,0
Matz Sels,Strasbourg,BEL,GK,30,22,0,0
Alexander Djiku,Strasbourg,GHA,DF,28,21,1,2
Jean-Ricner Bellegarde,Strasbourg,FRA,MF,24,19,1,5
Habib Diallo,Strasbourg,SEN,FW,27,22,10,0
Kévin Gameiro,Strasbourg,FRA,FW,35,20,7,0
Sanjin Prcić,Strasbourg,BIH,MF,29,20,1,1
Maxime Le Marchand,Strasbourg,FRA,DF,33,18,0,0
Gerzino Nyamsi,Strasbourg,FRA,DF,26,12,0,0
Dimitri Liénard,Strasbourg,FRA,"DF,MF",34,17,0,0
Ismaël Doukouré,Strasbourg,FRA,DF,19,13,1,0
Adrien Thomasson,Strasbourg,FRA,MF,29,15,0,2
Jean-Eudes Aholou,Strasbourg,CIV,MF,28,19,1,0
Lucas Perrin,Strasbourg,FRA,DF,24,13,0,0
Mouhamadou Diarra,Strasbourg,SEN,MF,19,16,0,0
Ludovic Ajorque,Strasbourg,REU,FW,28,13,1,0
Thomas Delaine,Strasbourg,FRA,DF,30,12,0,1
Ronaël Pierre-Gabriel,Strasbourg,FRA,DF,24,14,0,1
Colin Dagba,Strasbourg,FRA,DF,24,12,0,0
Ibrahima Sissoko,Strasbourg,FRA,MF,25,12,0,0
Morgan Sanson,Strasbourg,FRA,MF,28,3,0,1
Eduard Sobol,Strasbourg,UKR,"DF,MF",27,3,0,0
Frederic Guilbert,Strasbourg,FRA,DF,28,3,0,0
Lebo Mothiba,Strasbourg,RSA,"FW,MF",27,12,2,0
Franci Bouebari,Strasbourg,FRA,DF,19,2,0,0
Karol Fila,Strasbourg,POL,DF,24,2,0,0
Nordine Kandil,Strasbourg,FRA,"MF,FW",21,4,0,0
Dany Jean,Strasbourg,HAI,DF,20,1,0,0
Marvin Senaya,Strasbourg,TOG,DF,22,1,0,0
Eiji Kawashima,Strasbourg,JPN,GK,39,0,0,0
Anas Nanah,Strasbourg,MAR,DF,19,0,0,0
